facet_id,facet_name,raw_name,category,description,positive_indicators,negative_indicators,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,synonyms,related_facets,examples,keywords,retrieval_text
self_improvement,Self-Improvement,Self-improvement,other,"Self-Improvement (also: selfimprovementness, selfimprovementity, selfimprovementing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'self-improvement'. Context: Catch-all for facets that do not fit any profile. A high score on Self-Improvement indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates self-improvement in their response"", ""The turn contains strong evidence of self-improvement"", ""The speaker's language consistently reflects self-improvement""]","[""Absence of any signal related to self-improvement"", ""The turn contradicts or undermines self-improvement"", ""No other indicator for self-improvement is present""]",Strongly absent — turn actively contradicts or shows the opposite of self-improvement.,Mostly absent — only weak or indirect signals of self-improvement.,Neutral / mixed — evidence is ambiguous or self-improvement is not clearly applicable.,"Mostly present — turn clearly displays self-improvement, though not in extreme form.","Strongly present — self-improvement is pronounced, unambiguous, and central to the message.","[""selfimprovementness"", ""selfimprovementity"", ""selfimprovementing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects self-improvement."", ""The conversation turn is dominated by self-improvement.""]","[""self"", ""improvement"", ""selfimprovementness"", ""selfimprovementity"", ""selfimprovementing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
statistical_reasoning,Statistical Reasoning,Statistical Reasoning,cognitive,"Statistical Reasoning (also: statisticalness, statisticality, statisticaling, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'statistical reasoning'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Statistical Reasoning indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates statistical reasoning in their response"", ""The turn contains strong evidence of statistical reasoning"", ""The speaker's language consistently reflects statistical reasoning""]","[""Absence of any signal related to statistical reasoning"", ""The turn contradicts or undermines statistical reasoning"", ""No cognitive indicator for statistical reasoning is present""]",No application of statistical reasoning; reasoning absent or clearly wrong.,Superficial or partial application of statistical reasoning.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of statistical reasoning with depth.","Expert — sophisticated, fully-correct demonstration of statistical reasoning.","[""statisticalness"", ""statisticality"", ""statisticaling"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense""]","[""A speaker says something that clearly reflects statistical reasoning."", ""The conversation turn is dominated by statistical reasoning.""]","[""statistical"", ""reasoning"", ""statisticalness"", ""statisticality"", ""statisticaling"", ""thinking"", ""style"", ""mental"", ""process"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""common"", ""sense""]",
assertiveness_and_control_in_relationships,Assertiveness And Control In Relationships,Assertiveness and control in relationships,social,"Assertiveness And Control In Relationships (also: directness, self-advocacy, confidence in communication, standing one's ground) is a social facet that captures the degree to which a conversational turn exhibits 'assertiveness and control in relationships'. Context: Interpersonal style: leadership, collaboration, cooperation, conflict, assertiveness, communication, influence. A high score on Assertiveness And Control In Relationships indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""stated opinion clearly without hedging"", ""pushed back on an unfair request"", ""initiated a difficult conversation proactively""]","[""agreed to avoid conflict despite disagreement"", ""apologised excessively before making a point"", ""avoided expressing a view when asked directly""]",Absent — no interpersonal signal related to assertiveness and control in relationships.,Weak or indirect signal of assertiveness and control in relationships in the interaction.,Neutral — some social signal but assertiveness and control in relationships is not the dominant pattern.,Present — assertiveness and control in relationships is clearly demonstrated in this turn.,Strongly and consistently demonstrated; assertiveness and control in relationships is the defining feature.,"[""directness"", ""self-advocacy"", ""confidence in communication"", ""standing one's ground"", ""forthright expression"", ""assertivenessness"", ""assertivenessity"", ""assertivenessing""]","[""courage"", ""confidence"", ""democratic leadership"", ""social""]","[""I told my manager directly that the workload was unsustainable."", ""She said: 'I disagree, and here's why.'"", ""He declined the request firmly but respectfully.""]","[""assertiveness"", ""and"", ""control"", ""relationships"", ""directness"", ""self-advocacy"", ""confidence"", ""standing"", ""one's"", ""forthright"", ""expression"", ""assertivenessness"", ""assertivenessity"", ""assertivenessing"", ""stated"", ""opinion"", ""pushed"", ""back"", ""initiated"", ""difficult""]",
cunningness,Cunningness,Cunningness,cognitive,"Cunningness (also: cunningnessness, cunningnessity, cunningnessing, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'cunningness'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Cunningness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates cunningness in their response"", ""The turn contains strong evidence of cunningness"", ""The speaker's language consistently reflects cunningness""]","[""Absence of any signal related to cunningness"", ""The turn contradicts or undermines cunningness"", ""No cognitive indicator for cunningness is present""]",No application of cunningness; reasoning absent or clearly wrong.,Superficial or partial application of cunningness.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of cunningness with depth.","Expert — sophisticated, fully-correct demonstration of cunningness.","[""cunningnessness"", ""cunningnessity"", ""cunningnessing"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects cunningness."", ""The conversation turn is dominated by cunningness.""]","[""cunningness"", ""cunningnessness"", ""cunningnessity"", ""cunningnessing"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""common"", ""sense"", ""statistical""]",
adventure_seeking_behavior,Adventure-Seeking Behavior,Adventure-Seeking Behavior,personality,"Adventure-Seeking Behavior (also: adventureseekingness, adventureseekingity, adventureseekinging, trait) is a personality facet that captures the degree to which a conversational turn exhibits 'adventure-seeking behavior'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Adventure-Seeking Behavior indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates adventure-seeking behavior in their response"", ""The turn contains strong evidence of adventure-seeking behavior"", ""The speaker's language consistently reflects adventure-seeking behavior""]","[""Absence of any signal related to adventure-seeking behavior"", ""The turn contradicts or undermines adventure-seeking behavior"", ""No personality indicator for adventure-seeking behavior is present""]",Strong opposite tendency — behaviour is antithetical to adventure-seeking behavior.,Weak or incidental signal; adventure-seeking behavior is mostly absent.,Mixed — some evidence of adventure-seeking behavior but also contradictory signals.,Clearly present — turn shows consistent evidence of adventure-seeking behavior.,"Strongly exemplifies adventure-seeking behavior; central, pronounced, unmistakable.","[""adventureseekingness"", ""adventureseekingity"", ""adventureseekinging"", ""trait"", ""disposition"", ""character quality""]","[""Integrity"", ""Courage"", ""Honesty"", ""Assertiveness""]","[""A speaker says something that clearly reflects adventure-seeking behavior."", ""The conversation turn is dominated by adventure-seeking behavior.""]","[""adventure"", ""seeking"", ""behavior"", ""adventureseekingness"", ""adventureseekingity"", ""adventureseekinging"", ""trait"", ""disposition"", ""character"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""integrity"", ""courage"", ""honesty"", ""assertiveness""]",
compassion_fatigue,Compassion Fatigue,Compassion Fatigue,emotion,"Compassion Fatigue (also: empathy, care, concern for others, sympathy) is a emotion facet that captures the degree to which a conversational turn exhibits 'compassion fatigue'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Compassion Fatigue indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""stayed at the hospital with a friend overnight"", ""volunteered time to help a struggling colleague"", ""listened patiently without judgement""]","[""ignored the distress of others"", ""showed indifference to suffering"", ""dismissed emotional needs as irrelevant""]",Opposite affect — turn expresses the emotional antithesis of compassion fatigue.,Minimal emotional signal toward compassion fatigue; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to compassion fatigue.",Moderate — clear emotional expression aligned with compassion fatigue.,Intense — compassion fatigue dominates the turn; highly expressive and unambiguous.,"[""empathy"", ""care"", ""concern for others"", ""sympathy"", ""kindheartedness"", ""benevolence"", ""tender-heartedness"", ""compassionness""]","[""empathy"", ""kindness"", ""warmth"", ""compassion fatigue""]","[""I stayed up all night with my friend after her diagnosis."", ""I noticed he was upset and stopped my work to check on him."", ""She donated her bonus to help the family next door.""]","[""compassion"", ""fatigue"", ""empathy"", ""care"", ""concern"", ""for"", ""sympathy"", ""kindheartedness"", ""benevolence"", ""tender-heartedness"", ""compassionness"", ""stayed"", ""hospital"", ""volunteered"", ""time"", ""listened"", ""patiently"", ""kindness"", ""warmth""]",
moroseness,Moroseness,Moroseness,emotion,"Moroseness (also: morosenessness, morosenessity, morosenessing, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'moroseness'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Moroseness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates moroseness in their response"", ""The turn contains strong evidence of moroseness"", ""The speaker's language consistently reflects moroseness""]","[""Absence of any signal related to moroseness"", ""The turn contradicts or undermines moroseness"", ""No emotion indicator for moroseness is present""]",Opposite affect — turn expresses the emotional antithesis of moroseness.,Minimal emotional signal toward moroseness; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to moroseness.",Moderate — clear emotional expression aligned with moroseness.,Intense — moroseness dominates the turn; highly expressive and unambiguous.,"[""morosenessness"", ""morosenessity"", ""morosenessing"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth""]","[""A speaker says something that clearly reflects moroseness."", ""The conversation turn is dominated by moroseness.""]","[""moroseness"", ""morosenessness"", ""morosenessity"", ""morosenessing"", ""emotional"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy"", ""warmth""]",
specialist,Specialist,Specialist,other,"Specialist (also: specialistness, specialistity, specialisting, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'specialist'. Context: Catch-all for facets that do not fit any profile. A high score on Specialist indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates specialist in their response"", ""The turn contains strong evidence of specialist"", ""The speaker's language consistently reflects specialist""]","[""Absence of any signal related to specialist"", ""The turn contradicts or undermines specialist"", ""No other indicator for specialist is present""]",Strongly absent — turn actively contradicts or shows the opposite of specialist.,Mostly absent — only weak or indirect signals of specialist.,Neutral / mixed — evidence is ambiguous or specialist is not clearly applicable.,"Mostly present — turn clearly displays specialist, though not in extreme form.","Strongly present — specialist is pronounced, unambiguous, and central to the message.","[""specialistness"", ""specialistity"", ""specialisting"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects specialist."", ""The conversation turn is dominated by specialist.""]","[""specialist"", ""specialistness"", ""specialistity"", ""specialisting"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
aloofness,Aloofness,Aloofness,other,"Aloofness (also: aloofnessness, aloofnessity, aloofnessing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'aloofness'. Context: Catch-all for facets that do not fit any profile. A high score on Aloofness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates aloofness in their response"", ""The turn contains strong evidence of aloofness"", ""The speaker's language consistently reflects aloofness""]","[""Absence of any signal related to aloofness"", ""The turn contradicts or undermines aloofness"", ""No other indicator for aloofness is present""]",Strongly absent — turn actively contradicts or shows the opposite of aloofness.,Mostly absent — only weak or indirect signals of aloofness.,Neutral / mixed — evidence is ambiguous or aloofness is not clearly applicable.,"Mostly present — turn clearly displays aloofness, though not in extreme form.","Strongly present — aloofness is pronounced, unambiguous, and central to the message.","[""aloofnessness"", ""aloofnessity"", ""aloofnessing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects aloofness."", ""The conversation turn is dominated by aloofness.""]","[""aloofness"", ""aloofnessness"", ""aloofnessity"", ""aloofnessing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
genuine,Genuine,Genuine,other,"Genuine (also: genuineness, genuineity, genuineing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'genuine'. Context: Catch-all for facets that do not fit any profile. A high score on Genuine indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates genuine in their response"", ""The turn contains strong evidence of genuine"", ""The speaker's language consistently reflects genuine""]","[""Absence of any signal related to genuine"", ""The turn contradicts or undermines genuine"", ""No other indicator for genuine is present""]",Strongly absent — turn actively contradicts or shows the opposite of genuine.,Mostly absent — only weak or indirect signals of genuine.,Neutral / mixed — evidence is ambiguous or genuine is not clearly applicable.,"Mostly present — turn clearly displays genuine, though not in extreme form.","Strongly present — genuine is pronounced, unambiguous, and central to the message.","[""genuineness"", ""genuineity"", ""genuineing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects genuine."", ""The conversation turn is dominated by genuine.""]","[""genuine"", ""genuineness"", ""genuineity"", ""genuineing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
determinedness,Determinedness,Determinedness,other,"Determinedness (also: determinednessness, determinednessity, determinednessing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'determinedness'. Context: Catch-all for facets that do not fit any profile. A high score on Determinedness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates determinedness in their response"", ""The turn contains strong evidence of determinedness"", ""The speaker's language consistently reflects determinedness""]","[""Absence of any signal related to determinedness"", ""The turn contradicts or undermines determinedness"", ""No other indicator for determinedness is present""]",Strongly absent — turn actively contradicts or shows the opposite of determinedness.,Mostly absent — only weak or indirect signals of determinedness.,Neutral / mixed — evidence is ambiguous or determinedness is not clearly applicable.,"Mostly present — turn clearly displays determinedness, though not in extreme form.","Strongly present — determinedness is pronounced, unambiguous, and central to the message.","[""determinednessness"", ""determinednessity"", ""determinednessing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects determinedness."", ""The conversation turn is dominated by determinedness.""]","[""determinedness"", ""determinednessness"", ""determinednessity"", ""determinednessing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
honesty_humility,Honesty Humility,HonestyHumility:,personality,"Honesty Humility (also: truthfulness, candour, sincerity, transparency) is a personality facet that captures the degree to which a conversational turn exhibits 'honesty humility'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Honesty Humility indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""admitted a mistake unprompted"", ""told the truth despite consequences"", ""refused to hide relevant information""]","[""withheld critical information"", ""told half-truths to avoid conflict"", ""claimed credit for others' work""]",Strong opposite tendency — behaviour is antithetical to honesty humility.,Weak or incidental signal; honesty humility is mostly absent.,Mixed — some evidence of honesty humility but also contradictory signals.,Clearly present — turn shows consistent evidence of honesty humility.,"Strongly exemplifies honesty humility; central, pronounced, unmistakable.","[""truthfulness"", ""candour"", ""sincerity"", ""transparency"", ""frankness"", ""integrity"", ""forthrightness"", ""honestyness""]","[""integrity"", ""authenticity"", ""courage"", ""trust""]","[""I admitted the mistake even though I knew I'd be blamed."", ""I told my manager the project timeline was unrealistic."", ""He revealed the conflict of interest before the meeting.""]","[""honesty"", ""humility"", ""truthfulness"", ""candour"", ""sincerity"", ""transparency"", ""frankness"", ""integrity"", ""forthrightness"", ""honestyness"", ""admitted"", ""mistake"", ""told"", ""truth"", ""refused"", ""hide"", ""authenticity"", ""courage"", ""trust""]",
relationship_building_themes,Relationship Building Themes,Relationship Building Themes:,social,"Relationship Building Themes (also: relationshipness, relationshipity, relationshiping, interpersonal behaviour) is a social facet that captures the degree to which a conversational turn exhibits 'relationship building themes'. Context: Interpersonal style: leadership, collaboration, cooperation, conflict, assertiveness, communication, influence. A high score on Relationship Building Themes indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates relationship building themes in their response"", ""The turn contains strong evidence of relationship building themes"", ""The speaker's language consistently reflects relationship building themes""]","[""Absence of any signal related to relationship building themes"", ""The turn contradicts or undermines relationship building themes"", ""No social indicator for relationship building themes is present""]",Absent — no interpersonal signal related to relationship building themes.,Weak or indirect signal of relationship building themes in the interaction.,Neutral — some social signal but relationship building themes is not the dominant pattern.,Present — relationship building themes is clearly demonstrated in this turn.,Strongly and consistently demonstrated; relationship building themes is the defining feature.,"[""relationshipness"", ""relationshipity"", ""relationshiping"", ""interpersonal behaviour"", ""social skill"", ""relational dynamic""]","[""Assertiveness"", ""Democratic Leadership"", ""Empathy""]","[""A speaker says something that clearly reflects relationship building themes."", ""The conversation turn is dominated by relationship building themes.""]","[""relationship"", ""building"", ""themes"", ""relationshipness"", ""relationshipity"", ""relationshiping"", ""interpersonal"", ""behaviour"", ""social"", ""skill"", ""relational"", ""dynamic"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""assertiveness"", ""democratic""]",
pure_challenge,Pure Challenge,Pure Challenge,other,"Pure Challenge (also: pureness, pureity, pureing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'pure challenge'. Context: Catch-all for facets that do not fit any profile. A high score on Pure Challenge indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates pure challenge in their response"", ""The turn contains strong evidence of pure challenge"", ""The speaker's language consistently reflects pure challenge""]","[""Absence of any signal related to pure challenge"", ""The turn contradicts or undermines pure challenge"", ""No other indicator for pure challenge is present""]",Strongly absent — turn actively contradicts or shows the opposite of pure challenge.,Mostly absent — only weak or indirect signals of pure challenge.,Neutral / mixed — evidence is ambiguous or pure challenge is not clearly applicable.,"Mostly present — turn clearly displays pure challenge, though not in extreme form.","Strongly present — pure challenge is pronounced, unambiguous, and central to the message.","[""pureness"", ""pureity"", ""pureing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects pure challenge."", ""The conversation turn is dominated by pure challenge.""]","[""pure"", ""challenge"", ""pureness"", ""pureity"", ""pureing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
numerical_reasoning_subcomponents,Numerical Reasoning Subcomponents,Numerical Reasoning Subcomponents:,cognitive,"Numerical Reasoning Subcomponents (also: numericalness, numericality, numericaling, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'numerical reasoning subcomponents'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Numerical Reasoning Subcomponents indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates numerical reasoning subcomponents in their response"", ""The turn contains strong evidence of numerical reasoning subcomponents"", ""The speaker's language consistently reflects numerical reasoning subcomponents""]","[""Absence of any signal related to numerical reasoning subcomponents"", ""The turn contradicts or undermines numerical reasoning subcomponents"", ""No cognitive indicator for numerical reasoning subcomponents is present""]",No application of numerical reasoning subcomponents; reasoning absent or clearly wrong.,Superficial or partial application of numerical reasoning subcomponents.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of numerical reasoning subcomponents with depth.","Expert — sophisticated, fully-correct demonstration of numerical reasoning subcomponents.","[""numericalness"", ""numericality"", ""numericaling"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects numerical reasoning subcomponents."", ""The conversation turn is dominated by numerical reasoning subcomponents.""]","[""numerical"", ""reasoning"", ""subcomponents"", ""numericalness"", ""numericality"", ""numericaling"", ""thinking"", ""style"", ""mental"", ""process"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""common"", ""sense""]",
